frame	position	phase	lumen_area	lumen_circumf	longest_distance	shortest_distance	elliptic_ratio	vector_length	vector_angle	measurement_1	measurement_2	pullback_speed	pullback_start_frame	frame_rate
1474	24.23	-	6.47	10.45	4.36	1.86	2.35	1.19	259.17					
1475	24.24	-	6.11	10.13	4.30	1.77	2.44	1.10	261.54					
1476	24.26	S	5.66	10.40	7.30	2.47	2.27	1.06	261.95					
1477	24.28	-	5.94	9.87	4.12	1.80	2.29	1.06	263.19					
1478	24.29	-	6.26	10.26	4.35	1.78	2.44	1.13	262.37					
1479	24.31	-	6.12	10.11	4.27	1.73	2.47	1.07	262.92					
1480	24.33	-	5.96	9.71	4.05	1.85	2.19	0.97	260.00					
1481	24.34	-	6.27	10.05	4.22	1.77	2.39	1.00	259.55					
1482	24.36	D	6.39	10.55	7.16	2.86	2.49	1.13	258.97					
1483	24.37	-	6.58	10.44	4.38	1.84	2.38	1.09	260.16					
1484	24.39	-	6.56	10.74	4.52	1.72	2.62	1.20	258.67					
1485	24.41	-	6.59	10.46	4.41	1.82	2.43	1.15	257.02					
1486	24.42	-	6.27	10.58	4.48	1.63	2.76	1.11	260.57					
1487	24.44	-	6.39	10.60	4.55	1.72	2.64	1.18	260.62					
1488	24.46	-	6.30	10.71	4.62	1.66	2.78	1.16	261.53					
1489	24.47	S	5.67	10.39	7.31	2.51	2.62	1.19	262.69					
1490	24.49	-	6.27	10.63	4.62	1.69	2.73	1.13	264.79					
1491	24.51	-	6.30	9.98	4.16	1.86	2.23	1.07	261.95					
1492	24.52	-	6.41	10.18	4.27	1.83	2.34	1.08	262.46					
1493	24.54	-	5.75	9.39	3.84	1.77	2.18	0.92	261.29					
1494	24.56	D	7.13	11.61	8.13	2.92	2.20	1.02	259.88					
1495	24.57	-	7.13	10.68	4.41	1.99	2.22	1.11	258.26					
1496	24.59	-	7.11	10.64	4.39	2.00	2.19	1.12	257.97					
1497	24.61	-	7.05	10.73	4.53	1.92	2.36	1.12	256.79					
1498	24.62	-	7.05	10.97	4.61	1.86	2.47	1.10	257.18					
1499	24.64	-	6.87	10.79	4.52	1.80	2.50	1.08	258.60					
1500	24.65	-	6.58	10.60	4.43	1.81	2.45	1.10	259.89					
1501	24.67	-	6.68	10.62	4.54	1.82	2.50	1.04	260.91					
1502	24.69	S	5.32	10.22	7.19	2.39	2.67	1.17	263.22					
1503	24.70	-	6.34	10.75	4.66	1.64	2.84	1.11	266.38					
1504	24.72	-	6.38	10.81	4.71	1.61	2.93	1.12	266.86					
1505	24.74	-	6.29	10.83	4.74	1.63	2.91	1.13	265.89					
1506	24.75	-	6.46	10.60	4.54	1.71	2.66	1.08	264.52					
1507	24.77	D	6.93	11.42	7.90	2.83	2.28	0.98	260.96					
1508	24.79	-	6.95	10.77	4.53	1.92	2.37	1.12	260.44					
1509	24.80	-	6.76	10.68	4.47	1.85	2.42	1.03	260.25					
1510	24.82	-	6.68	10.56	4.37	1.85	2.37	1.13	260.66					
1511	24.84	-	6.93	11.04	4.68	1.77	2.65	1.10	259.42					
1512	24.85	-	6.41	10.42	4.41	1.81	2.44	1.05	259.09					
1513	24.87	-	6.30	10.42	4.43	1.72	2.57	1.06	261.60					
1514	24.88	-	6.08	10.01	4.19	1.72	2.44	0.93	261.44					
1515	24.90	-	6.26	10.36	4.41	1.66	2.65	1.02	262.48					
1516	24.92	S	5.00	10.03	7.07	2.25	3.00	1.11	266.12					
1517	24.93	-	5.79	10.17	4.33	1.52	2.84	0.94	267.45					
1518	24.95	-	6.02	10.45	4.47	1.59	2.81	1.06	267.59					
1519	24.97	-	5.86	10.33	4.45	1.52	2.93	0.96	267.78					
1520	24.98	-	5.70	10.19	4.38	1.50	2.92	0.89	267.66					
1521	25.00	D	6.16	10.96	7.70	2.42	2.66	0.98	263.53					
1522	25.02	-	6.77	10.81	4.55	1.69	2.69	1.02	262.02					
1523	25.03	-	6.57	10.30	4.26	1.85	2.30	0.98	261.61					
1524	25.05	-	6.72	10.41	4.38	1.87	2.34	0.91	256.74					
1525	25.07	-	6.15	10.09	4.27	1.72	2.49	0.88	260.15					
1526	25.08	-	5.78	9.98	4.33	1.65	2.62	0.77	262.45					
1527	25.10	-	5.50	9.67	4.12	1.60	2.58	0.66	264.89					
1528	25.11	-	5.83	9.77	4.11	1.71	2.40	0.69	264.24					
1529	25.13	S	3.88	9.49	6.90	1.80	2.53	0.77	264.53					
1530	25.15	-	6.16	10.41	4.44	1.65	2.70	0.89	266.44					
1531	25.16	-	5.94	10.03	4.27	1.67	2.56	0.72	266.75					
1532	25.18	-	6.27	10.30	4.37	1.71	2.56	0.79	265.53					
1533	25.20	-	6.26	10.16	4.21	1.64	2.57	0.73	263.34					
1534	25.21	D	6.79	11.99	8.59	2.33	2.52	0.69	263.42					
1535	25.23	-	6.80	11.08	4.74	1.72	2.76	0.93	265.51					
1536	25.25	-	6.60	10.72	4.53	1.74	2.61	0.89	262.73					
1537	25.26	-	7.11	11.54	4.89	1.62	3.03	0.99	260.91					
1538	25.28	-	7.08	11.50	4.99	1.67	2.99	0.83	260.81					
1539	25.30	-	6.63	10.78	4.58	1.62	2.83	0.85	262.57					
1540	25.31	-	6.59	10.85	4.67	1.60	2.92	0.90	262.93					
1541	25.33	-	6.34	10.32	4.34	1.68	2.57	0.75	264.45					
1542	25.35	S	4.32	10.40	7.69	1.84	2.81	0.87	265.07					
1543	25.36	-	7.03	10.79	4.39	1.74	2.52	0.79	265.08					
1544	25.38	-	6.28	10.24	4.26	1.66	2.58	0.72	265.86					
1545	25.39	-	5.81	9.74	4.05	1.69	2.40	0.57	267.93					
1546	25.41	-	6.10	9.97	4.05	1.64	2.47	0.57	262.84					
1547	25.43	D	5.28	10.85	7.70	1.99	2.44	0.51	267.74					
1548	25.44	-	6.51	10.64	4.56	1.73	2.63	0.62	269.28					
1549	25.46	-	6.61	10.66	4.58	1.75	2.62	0.53	268.73					
1550	25.48	-	7.25	11.69	5.23	1.77	2.96	0.56	263.37					
1551	25.49	-	6.87	10.98	4.75	1.76	2.70	0.49	257.86					
1552	25.51	-	6.43	10.61	4.56	1.68	2.72	0.57	261.74					
1553	25.53	-	6.04	9.97	4.23	1.77	2.40	0.37	262.93					
1554	25.54	-	6.00	9.98	4.18	1.72	2.43	0.40	269.43					
1555	25.56	S	4.60	10.24	7.47	2.06	2.33	0.37	272.37					
1556	25.58	-	6.27	10.48	4.43	1.67	2.66	0.55	272.36					
1557	25.59	-	5.85	9.99	4.22	1.66	2.54	0.49	272.57					
1558	25.61	-	6.06	10.45	4.43	1.57	2.83	0.54	268.80					
1559	25.62	-	6.09	10.40	4.45	1.73	2.57	0.40	275.61					
1560	25.64	D	4.68	10.42	7.54	1.93	2.44	0.34	272.09					
1561	25.66	-	6.81	10.95	4.72	1.83	2.58	0.53	268.47					
1562	25.67	-	6.76	10.97	4.72	1.76	2.69	0.50	270.62					
1563	25.69	-	7.52	11.78	5.19	1.73	3.00	0.25	254.33					
1564	25.71	-	7.56	11.92	5.31	1.77	3.00	0.32	254.54					
1565	25.72	-	6.99	11.49	5.11	1.71	2.99	0.29	253.79					
1566	25.74	-	6.73	11.09	4.83	1.63	2.97	0.36	262.50					
1567	25.76	-	6.45	10.88	4.74	1.66	2.85	0.33	264.09					
1568	25.77	-	6.63	10.73	4.50	1.68	2.68	0.43	266.54					
1569	25.79	S	4.93	10.86	7.99	2.07	2.78	0.51	267.65					
1570	25.81	-	6.93	10.93	4.62	1.66	2.77	0.58	268.28					
1571	25.82	-	7.00	11.17	4.80	1.68	2.85	0.59	266.46					
1572	25.84	-	6.73	10.77	4.60	1.69	2.71	0.57	266.64					
1573	25.86	D	4.78	10.31	7.44	2.00	2.41	0.33	266.02					
1574	25.87	-	7.46	11.28	4.88	1.97	2.47	0.49	260.20					
