frame	position	phase	lumen_area	lumen_circumf	longest_distance	shortest_distance	elliptic_ratio	vector_length	vector_angle	measurement_1	measurement_2	pullback_speed	pullback_start_frame	frame_rate
1173	39.33	-	17.25	15.07	5.47	3.90	1.40	1.68	22.21					
1174	39.36	-	18.52	15.83	5.70	3.96	1.44	1.81	20.91					
1175	39.40	-	17.79	15.57	5.60	3.69	1.52	1.80	27.46					
1176	39.43	-	18.40	15.83	5.92	3.83	1.54	1.68	34.59					
1177	39.46	-	20.51	16.62	6.25	4.04	1.55	1.64	30.97					
1178	39.50	-	18.77	16.01	5.89	3.71	1.59	1.54	32.54					
1179	39.53	-	16.78	15.22	5.59	3.80	1.47	1.33	27.79					
1180	39.56	-	17.13	15.57	5.58	3.49	1.60	1.29	27.62					
1181	39.59	-	14.50	14.61	5.03	3.69	1.37	0.93	30.11					
1182	39.63	-	17.26	15.87	5.47	3.40	1.61	1.08	11.82					
1183	39.66	-	13.48	13.80	5.01	3.57	1.40	0.87	15.17					
1184	39.69	-	17.68	15.93	5.53	3.47	1.59	1.28	2.02					
1185	39.73	-	18.44	15.76	5.51	3.94	1.40	1.34	7.34					
